weight_name,AP_all,AP_50,AP_75,AP_small,AP_medium,AP_large,AR_max1,AR_max10,AR_max100,AR_small,AR_medium,AR_large
stream26_best.pt,0.1424,0.3229,0.1072,0.1176,0.1055,0.1451,0.2092,0.2159,0.2159,0.1199,0.1710,0.2228
stream27_best.pt,0.1285,0.3072,0.0807,0.0993,0.1076,0.1216,0.2026,0.2101,0.2101,0.1064,0.1808,0.2101
stream28_best.pt,0.1295,0.2978,0.0920,0.1238,0.0969,0.1245,0.1946,0.2011,0.2011,0.1343,0.1531,0.2122
stream29_best.pt,0.1493,0.3307,0.1144,0.1133,0.1188,0.1408,0.2192,0.2270,0.2270,0.1167,0.1887,0.2154
stream30_best.pt,0.1474,0.3352,0.1150,0.1353,0.1118,0.1442,0.2179,0.2241,0.2241,0.1412,0.1772,0.2276
stream31_best.pt,0.1512,0.3415,0.1098,0.1213,0.1184,0.1448,0.2207,0.2272,0.2272,0.1247,0.1823,0.2288
stream32_best.pt,0.1453,0.3287,0.1070,0.1125,0.1092,0.1457,0.2149,0.2217,0.2217,0.1153,0.1766,0.2278
stream33_best.pt,0.1468,0.3232,0.1166,0.1119,0.1172,0.1420,0.2130,0.2180,0.2180,0.1127,0.1766,0.2111
stream34_best.pt,0.1471,0.3273,0.1165,0.1232,0.1185,0.1399,0.2200,0.2274,0.2274,0.1260,0.1895,0.2189
